city,lat,long,population
Vorozhba,51.1749,34.2299,6972
Pryvillya,48.9999,38.2948,6970
Shevchenkove,49.6939,37.1794,6959
Tomakivka,47.8163,34.7471,6957
Piskivka,50.7078,29.595,6896
Kupiansk,49.7064,37.6167,6893
Vilshany,50.0533,35.8847,6865
Dobroslav,46.82,30.945,6863
Chynadiyovo,48.4833,22.8333,6860
Nova Maiachka,46.6033,33.2283,6811
Bilmak,47.3589,36.65,6802
Dovhe,48.3675,23.2869,6790
Velyki Komiaty,48.2386,22.9789,6772
Sofiivka,48.0727,33.8937,6748
Hornostaivka,47.007,33.728,6745
Rozsoshentsi,49.5406,34.5042,6731
Lozuvatka,48.061,33.2927,6730
Irshansk,50.7167,28.7167,6718
Oleksandrivsk,48.5833,39.1833,6709
Perechyn,48.7333,22.4667,6683
Lityn,49.3255,28.0872,6658
Svesa,51.9481,33.9367,6644
Karnaukhivka,48.4698,34.7376,6631
Staryi Sambir,49.4333,23,6630
Yemilchyne,50.8708,27.8028,6616
Pryazovske,46.7378,35.6416,6578
Voronovytsia,49.0989,28.6831,6564
Bilokurakyne,49.5167,38.7167,6560
Ivanychi,50.6419,24.3606,6551
Tsuman,50.8333,25.8833,6548
Kubei,45.7925,28.7475,6544
Sudova Vyshnya,49.7892,23.3722,6538
Bile,48.4936,39.0367,6512
Slatyne,50.2161,36.1525,6483
Dobrotvir,50.2056,24.3864,6450
Drabiv,49.9603,32.1481,6450
Vorzel,50.55,30.15,6441
Chervonohryhorivka,47.6233,34.5309,6348
Stavyshche,49.3914,30.1917,6339
Mahdalynivka,48.9147,34.9154,6335
Vinkivtsi,49.0333,27.2333,6330
Turbiv,49.3463,28.7244,6326
Velyki Mosty,50.24,24.1394,6298
Teplyk,48.6594,29.7539,6280
Fontanka,46.5644,30.8586,6260
Blahovishchenske,48.3197,30.2353,6232
Hvardiys’ke,48.7328,35.311,6207
Halych,49.1128,24.7217,6196
Petropavlivs'ka Borshchahivka,50.4378,30.3439,6125
Kushnytsia,48.4517,23.2581,6100
Kehychivka,49.2858,35.7622,6090
Partenit,44.5764,34.3397,6089
Sutysky,49.0422,28.4208,6069
Ahrarne,45.0186,34.0544,6034
Balabyne,47.735,35.2142,6010
Volodarka,49.52,29.9153,5996
Murovani Kurylivtsi,48.7222,27.515,5872
Ozerne,50.1794,28.7361,5851
Morshyn,49.155,23.8725,5850
Verkhovyna,48.1517,24.8136,5829
Chernihivka,47.1942,36.2023,5813
Veselynove,47.3583,31.2397,5785
Dobrovelychkivka,48.35,31.1667,5763
Lyubeshiv,51.7631,25.4992,5762
Hrebinky,49.9564,30.1714,5749
Sokilnyky,49.7769,23.9614,5727
Turiys’k,51.0833,24.5333,5676
Oleksandriiske,48.6019,32.9889,5672
Horonda,48.3786,22.5681,5630
Dniprovske,48.5953,34.4207,5628
Chudniv,50.0528,28.0969,5583
Dymer,50.7872,30.3117,5582
Savyntsi,49.4105,37.0617,5571
Broshniv-Osada,48.9994,24.1814,5557
Korop,51.5661,32.9508,5545
Zoria,45.9917,29.6989,5528
Tomashpil,48.5471,28.5157,5527
Nova Borova,50.6922,28.6367,5517
